"key","ID","dataset","TL_mm","width_mm","height_mm","weight_g","gonads_g","pred.eggs","pred.age","age","class"
1,"1661","batch",264.0099244939629,43.25300113570599,91.64223681561685,953.3333333333334,NA,2799,13.588279804892633,NA,6
2,"1662","batch",269.2340710822027,48.346939821097266,76.37752955916093,953.3333333333334,NA,3050,14.094723032592924,NA,6
3,"1663","batch",279.0698148042429,45.25977370071451,88.40842890019863,953.3333333333334,NA,3570,15.07116392101197,NA,6
4,"1664","batch",295.50218170974404,63.09070337948947,100.31640523997488,953.3333333333334,NA,4587,16.77402195711892,NA,6
5,"1665","batch",260.88241462083533,47.25499403646607,90.56816188022417,953.3333333333334,NA,2657,13.288983834944865,NA,6
6,"1666","batch",295.02109456341714,48.525737714832275,88.59638207082601,953.3333333333334,NA,4554,16.722822087753077,NA,6
7,"2621","batch",297.2890881616622,56.40152321018581,110.35326753911794,965,NA,4709,16.9649342574639,NA,6
8,"2622","batch",283.3790918318555,54.646863166111395,94.47113420604227,965,NA,3818,15.508800989016837,NA,6
9,"3741","batch",316.09873705357313,61.38223948789792,106.21121982546204,1435,NA,6161,19.048893956769454,NA,7
10,"3742","batch",302.48287049122155,52.889737262865495,95.89223989055789,1435,NA,5080,17.526571929257287,NA,7
11,"3743","batch",305.9433897975832,65.24014871941793,97.7967649244935,1435,NA,5340,17.906481239566975,NA,7
12,"3744","batch",305.2373620606959,57.64312539155962,107.3958648332961,1435,NA,5286,17.82859365755134,NA,7
13,"4751","batch",317.4885483197868,54.24000258064874,115.70064782520302,1314,NA,6281,19.208549465704106,NA,7
14,"4752","batch",310.2184892371297,44.40018882747,95.38318748593524,1314,NA,5675,18.382307263647363,NA,7
15,"4753","batch",319.47619407996535,65.97948564741854,105.81651806145814,1314,NA,6455,19.43831293200991,NA,7
16,"4754","batch",312.94478181004524,56.70799788983647,113.97604580925768,1314,NA,5896,18.689588102885246,NA,7
17,"4755","batch",318.22284419834614,58.060623724545025,109.10494398809715,1314,NA,6344,19.29323371952324,NA,7
18,"5751","batch",324.8057462759316,66.02733913306011,132.0273660664529,1290,NA,6940,20.062883465593856,NA,7
19,"5752","batch",310.12084430642426,61.57245835458272,118.0089835359789,1290,NA,5667,18.371357713467617,NA,7
20,"5753","batch",319.6586853116751,62.35121829003944,117.25972013874073,1290,NA,6471,19.45949333173689,NA,7
21,"5754","batch",323.4329255465418,65.51005980223994,114.47171798064949,1290,NA,6812,19.900801339648016,NA,7
22,"5755","batch",306.0914205107838,60.33976165825475,109.28744905048563,1290,NA,5351,17.92283641889947,NA,7
23,"6721","batch",316.6401703860611,58.274840409457674,106.74128094408513,1105,NA,6207,19.110994224323086,NA,7
24,"6722","batch",304.0133223030716,44.38090515465744,110.86602099020575,1105,NA,5194,17.694019766059686,NA,7
25,"7721","batch",307.41329604946077,59.606501440433625,118.57584144468655,1220,NA,5453,18.069265834191548,NA,7
26,"7722","batch",310.2667382210493,56.046841376186535,116.85744308941736,1220,NA,5678,18.387719151600812,NA,7
27,"8711","batch",301.3213679958135,53.49724393019116,100.0938486439826,1360,NA,4996,17.400089140823262,NA,7
28,"9661","batch",269.7370098964311,40.54035122051943,83.63301184799602,961.6666666666666,NA,3075,14.143916601336677,NA,6
29,"9662","batch",293.614851440303,50.056733478149816,101.59128663770919,961.6666666666666,NA,4460,16.57364283858662,NA,6
30,"9663","batch",267.67710083769634,49.2331578709515,94.5290760682189,961.6666666666666,NA,2974,13.94292292037525,NA,6
31,"9664","batch",274.6219256580807,56.22484426775761,103.19514669289042,961.6666666666666,NA,3327,14.625806528669738,NA,6
32,"9665","batch",280.37872544582933,49.262692814851626,89.15871603105461,961.6666666666666,NA,3644,15.20344400460083,NA,6
33,"9666","batch",275.18352404539473,50.7625003141874,97.1321798193595,961.6666666666666,NA,3357,14.681688200523201,NA,6
34,"10611","batch",260.1246624691412,45.1805179743896,90.2444262232987,1120,NA,2623,13.216899275151473,NA,6
35,"11731","batch",320.8569596465677,50.64493105318447,122.35051803266407,1323.3333333333333,NA,6578,19.598926983429042,NA,7
36,"11732","batch",317.04320171661675,55.364547885010516,111.62193426142734,1323.3333333333333,NA,6242,19.157300831798327,NA,7
37,"11733","batch",320.0617566574365,56.13566693785811,110.50839777362262,1323.3333333333333,NA,6507,19.506325915868867,NA,7
38,"12731","batch",303.59064702130854,54.555459366958964,98.84268331347741,1223.3333333333333,NA,5162,17.64768452555085,NA,7
39,"12732","batch",318.3690627049655,65.5235065274967,108.71575563293742,1223.3333333333333,NA,6357,19.31012420241995,NA,7
40,"12733","batch",310.87058631144464,61.369411650273165,106.80712023764707,1223.3333333333333,NA,5727,18.455529914390066,NA,7
41,"13631","batch",291.22636841167696,51.26335861257224,117.72855665649428,870,NA,4303,16.321889795279255,NA,6
42,"13632","batch",282.70594949717633,48.96224044018654,114.4454498610198,870,NA,3778,15.440032221233231,NA,6
43,"13633","batch",289.36370535218157,55.81340229182246,99.5262927515792,870,NA,4184,16.1269619920583,NA,6
44,"14741","batch",314.27287147939205,60.822993890237186,103.56238069641915,1192.5,NA,6007,18.840382336206613,NA,7
45,"14742","batch",313.71326992474496,53.063838975379745,97.40230366463666,1192.5,NA,5960,18.776754934917232,NA,7
46,"14743","batch",319.9445495605469,54.247171379310245,116.77776470082281,1192.5,NA,6496,19.492700442138013,NA,7
47,"14744","batch",301.55994885601103,56.639694669099576,98.42944196473356,1192.5,NA,5013,17.42602772901114,NA,7
48,"15741","batch",312.45352156087756,61.78782705625664,127.1915955453976,1232.5,NA,5856,18.633993746206357,NA,7
49,"15742","batch",318.5755297280848,57.5397110138161,106.2726492805411,1232.5,NA,6375,19.333989920223104,NA,7
50,"15743","batch",317.6255573555827,63.812017964526966,112.85557461835631,1232.5,NA,6292,19.22433286869429,NA,7
51,"15744","batch",312.46287093125284,59.370692564098654,140.19268838081797,1232.5,NA,5857,18.63505085907419,NA,7
52,"16751","batch",321.6690274439752,55.170317072929386,105.94976578974763,1274,NA,6651,19.69377688484229,NA,7
53,"16752","batch",311.51433057338,58.78780352323013,111.73472249548283,1274,NA,5779,18.52798385254437,NA,7
54,"16753","batch",306.8751346487552,49.25490243486913,100.33783561935437,1274,NA,5412,18.009568463996573,NA,7
