transect,obs,FL_mm,TL_mm,width_mm,height_mm,weight_g,PIT_ID,health,colour,notes,ID
,,291,374,58,106,670,998550EF,,gold,,45
,,336,374,68,131,1080,,,gold,,97
,,345,374,75,128,1250,,,gold,,111
,WS,339,374,75,140,1280,,,gold,,127
CSI,CS 005,335,375,71,145,1260,9988550DE,,gold,,129
,,340,375,70,135,1200,998551F3,,orange-black,,134
,CA 13 - kurt phone,345,378,77,140,1340,,,gold,,159
,CB,350,380,74,143,1250,9984619B,,gold,,119
,,345,380,77,130,1250,998460A6,,gold,,139
,,356,380,76,140,1400,998550A6,,gold,,144
,,345,380,76,150,1480,,,orange-black,,158
,WS,340,381,73,131,1120,,,gold,,125
,,348,381,71,135,1360,,,gold,,151
,,351,382,74,138,1150,998461AF,,orange,,46
,,343,382,74,131,990,,,gold,,82
,,347,382,76,135,1330,,,,,106
,,343,382,70,135,1100,,,gold,,113
,,357,383,71,148,1430,998461A2,,orange-black,,51
,,343,383,76,149,1440,99855164,,gold,,131
,,355,384,74,133,1360,,,gold,,5
,52-56,359,384,78,149,1490,,,gold,,26
,,357,384,99,141,1500,,,gold,,28
,,346,385,73,135,1300,,,,,118
,,354,386,81,142,1310,,,gold,,18
,,353,386,84,154,1650,998461CE,,gold,,69
,,345,386,76,138,1230,,,gold,,99
43-44,43-44,351,387,72,136,1500,,,gold,,14
,,351,387,77,143,1360,,,orange,,19
,,351,387,73,143,1350,9984614B,,gold,,66
,,349,388,72,147,1350,,,gold,,81
,,340,390,75,135,1240,99846178,,gold,,135
,,355,390,81,145,1580,99846229,,gold,,136
,,354,392,73,141,1420,998551D7,no eye,gold,,115
,,352,393,72,154,1470,99846100,,gold,,79
,,355,394,82,164,1800,99846048,,,,62
,,361,395,74,144,1470,,,gold,,20
,,355,396,71,145,1350,99846139,,orange,,31
,,352,396,76,146,1750,99846127,,orange-black,,53
,,361,398,71,143,1510,,,gold,,27
,,357,399,81,158,1590,99846093,,gold,,54
,,356,401,73,126,1370,,,gold,,22
,,364,401,78,165,1730,9984607D,,gold,,150
,18-19,368,404,73,164,1610,998461 E4,,gold,,43
