otolith.vial,transect,obs,FL_mm,TL_mm,width_mm,height_mm,weight_g,health,colour,notes,ID,PIT.HEX,PIT.DEC,Sex,Eggs,Gonad.Mass.g,Bodywally.Thickness..mm.,Searcher,MergeNotes,Otoliths,Picture_O1,Otolith.Analysis_O1,Age.First.Read_O1,Certainty_O1,Notes.Read_O1,First.Read.Date,Picture_O2,Otolith.Analysis_O2,Age.First.Read_O2,Certainty_O2,NotesO2,AgeDiff,ReadToUse,use.age,oto
36,CS1,98-103,204,225,35,77,200,,brown,,182,362929,1064362929,M?,N,NA,4,JM,,1,,,NA,NA,found missing,,,,NA,NA,,,,,
37,CS1,31-34,214,233,39,82,260,,brown,,179,363008,1064363008,M?,N,NA,8,JG,,2,Y,lapilli - R,17,2,clear colored bands,27/8/2025,Y,lapilli - L,17,2,,0,,17,l
38,CS1,31-34,189,211,34,68,149,scale loss,brown,,180,362927,1064362927,M?,N,NA,6,JG,,2,Y,lapilli - R,13,2,clear colored bands around center but outer layers slightly faded,27/8/2025,Y,lapilli - L,13,2,,0,,13,l
39,CS1,98-103,133,149,33,48,47,,,,181,362955,1064362955,M?,N,NA,1,JM,,2,Y,lapilli - L,12,2,,,N,,NA,NA,unreadable due to sanding issues,,,12,l
40,CS1,104-115,112,124,14,36,25,,brown,,183,362922,1064362922,M?,N,NA,1,JM,,1,Y,lapilli - L,10,2,tip is broken; lots of false annuli but visible colored bands,27/8/2025,,,NA,NA,,,,10,l
41,,46,355,396,71,145,1350,,orange,,31,99846139,99129,F,Y,99,12,JG,,1,Y,lapilli - L,14,2,core is small and outer rings are compact,27/8/2025,,,NA,NA,,,,14,l
42,,007 - 011,321,346,74,139,1180,,yellow-black,,103,9984604C,98892,F,Y,NA,8,JM,,1,Y,lapilli - R,18,2,"same dark core, faded edge problem",27/8/2025,,,NA,NA,,,,18,l
43,,12,324,350,63,124,980,,gold,,109,99846220,99360,F,Y,120.4,10,JG,,1,Y,lapilli - L,18,2,"same dark core, faded edge problem",27/8/2025,,,NA,NA,,,,18,l
44,,12,299,328,54,109,630,,gold,A sore thing?,112,998460A8,98984,M?,N,NA,7,JM,,2,Y,asteriscii - R,24,3,lots of false annuli,27/8/2025,Y,asteriscii - L,17,2,,7,O2,17,a
45,,12,317,349,67,117,950,,,,105,998460C5,99013,F,Y,61.7,6,NT,,1,Y,asteriscii - R,27,3,bands unclear,27/8/2025,,,NA,NA,,,,27,a
46,,007 - 011,296,328,56,109,660,,gold,,101,9984610F,99087,M,N,15.6,5,NT,,2,Y,asteriscii - R,21,3,possibly an overestimate,27/8/2025,Y,asteriscii - L,28,3,might be older,-7,O2,28,a
47,,50-51,147,163,35,50,69,,gold,,24,998460AB,98987,M,N,NA,3,JM,,1,Y,asteriscii - R,2,2,"couldn't be more than 2 but isn't small enough to be YOY, there are two faded rings ",27/8/2025,,,NA,NA,,,,2,a
49,,50-51,209,227,37,76,211,,gold,,7,9984615F,99167,F,Y,8.5,4,NT,,1,Y,lapilli - R,13,2,"bands are clear in color but outer edge is compacted, could be one more",27/8/2025,,,NA,NA,,,,13,l
50,,007 - 011,80,88,11,23,7,,gold,,96,9985508B,160395,unk,N,NA,1,JM,,1,Y,asteriscii - L,1,1,definitely looks like YOY,27/8/2025,,,NA,NA,,,,1,a
51,50-51,50-51,75,82,9,23,7,,gold,,1,99855173,160627,unk,N,NA,1,JM,,2,Y,lapilli - R,12,2,,28/8/2025,Y,lapilli - L,15,3,,-3,O1,12,l
53,,13,232,254,44,84,327,,gold,,89,9984618D,99213,F,Y,31.2,7,JG,,2,,,NA,NA,poor condition: deformed,,N,,NA,NA,poor condition: deformed,,,,
54,,46,130,143,22,47,50,,gold,,34,,99266,unk,N,NA,2,JM,UncertainLink,2,Y,lapilli - R,10,2,it's remarkable how small of an otolith could be so old,28/8/2025,Y,lapilli - L,13,3,,-3,O1,10,l
56,,007 - 011,320,350,67,122,1050,,gold,,98,99846232,99378,F,Y,86.2,5,NT,,1,Y,asteriscii - R,16,2,core is messy,28/8/2025,,,NA,NA,,,,16,a
57,,46,81,90,12,25,9,,gold,,30,998461BA,99258,unk,N,NA,1,JM,,2,Y,lapilli - R,9,2,"could be 10 if the outer ring is counted, i can't tell if it's too faded or if it's still forming",28/8/2025,Y,lapilli - L,9,2,,0,,9,l
58,,18-19,216,234,38,79,247,,gold,,75,99846234,99380,M,N,NA,8,JG,,1,Y,lapilli - L,12,1,core is a little hard to find,28/8/2025,,,NA,NA,,,,12,l
59,,13,294,323,54,107,680,,gold,,80,998461D6,99286,M,N,NA,6,NT,,1,Y,asteriscii - R,16,2,,28/8/2025,,,NA,NA,,,,16,a
60,,13,274,303,59,105,500,,gold,,85,99846173,99187,F,Y,21.5,10,JG,,2,Y,lapilli - R,14,2,,28/8/2025,Y,lapilli - L,12,3,,2,O1,14,l
62,,12,322,351,69,126,1080,,gold,,114,998460C4,99012,F,Y,64.7,11,JG,,2,Y,asteriscii - L,23,2,could be more,28/8/2025,Y,lapilli - L,17,4,"lots of false annuli, rings crammed near the edge, may be an underestimate",6,O1,23,a
63,,50-51,180,196,41,64,131,,gold,,25,998461D5,99285,unk,N,NA,3,JM,,1,Y,lapilli - L,14,2,"has the same problem of dark core and faded edge, but rings are very clear, quite beautiful actually",28/8/2025,,,NA,NA,,,,14,l
64,,46,298,327,48,110,470,,NA,,36,9984617B,99195,F,Y,15.2,6,JM,,2,Y,lapilli - L,12,1,core is a little dark but this one has clear notches lining the rostrum carving into the core,28/8/2025,N,,NA,NA,found broken,,,14,l
65,,13,273,298,50,94,410,,gold,,83,99846050,98896,F,Y,66,7,JM,,1,Y,lapilli - L,16,1,tcore is a little dark but this one has clear notches lining the anti-rostrum carving into the core,28/8/2025,,,NA,NA,,,,16,l
66,,007 - 011,311,346,67,120,1030,,gold,,100,9984605B,98907,F,Y,78.6,13,JG,,2,Y,asteriscii - R,29,2,core is very small and harder to read,28/8/2025,Y,asteriscii - L,20,2,,9,O2,20,a
67,,13,352,393,72,154,1470,,gold,,79,99846100,99072,F,Y,83.7,13,JG,,2,Y,lapilli - R,19,1,"it could be more because there seems to be more rings at the edge but on the other hand, the core doesn't seem very small",28/8/2025,N,,NA,NA,looks like a broken piece of an asteriscus otolith?,,,19,l
