"dataset","ID","TL_mm","FL_mm","SL_mm","width_mm","height_mm","weight_g","sex","eggs","gonads_g","bodywall_mm","use.age","age.diff","oto"
"DFO","155",338,310,NA,69,125,980,"F","Y",36.1,11,NA,NA,NA
"DFO","162",339,307,NA,61,115,990,NA,NA,NA,NA,NA,NA,NA
"DFO","61",341,302,NA,57,122,860,NA,NA,NA,NA,NA,NA,NA
"DFO","92",342,317,NA,50,116,740,NA,NA,NA,NA,NA,NA,NA
"DFO","58",343,301,NA,58,119,1030,NA,NA,NA,NA,NA,NA,NA
"DFO","175",343,310,NA,63,115,890,NA,NA,NA,NA,NA,NA,NA
"DFO","107",344,314,NA,65,124,1040,NA,NA,NA,NA,NA,NA,NA
"DFO","57",345,312,NA,61,121,1160,NA,NA,NA,NA,NA,NA,NA
"DFO","70",345,311,NA,64,127,920,NA,NA,NA,NA,NA,NA,NA
"DFO","90",345,314,NA,69,128,930,NA,NA,NA,NA,NA,NA,NA
"DFO","133",345,325,NA,66,124,920,"F","Y",80.4,8,NA,NA,NA
"DFO","100",346,311,NA,67,120,1030,"F","Y",78.6,13,20,9,"a"
"DFO","103",346,321,NA,74,139,1180,"F","Y",NA,8,18,NA,"l"
"DFO","160",346,315,NA,71,138,1090,"F","Y",94,11,24,-7,"l"
"DFO","163",346,300,NA,66,120,1120,NA,NA,NA,NA,NA,NA,NA
"DFO","60",347,317,NA,66,130,1040,NA,NA,NA,NA,NA,NA,NA
"DFO","74",347,322,NA,63,131,1070,NA,NA,NA,NA,NA,NA,NA
"DFO","56",348,304,NA,63,127,940,NA,NA,NA,NA,NA,NA,NA
"DFO","67",348,307,NA,63,119,990,NA,NA,NA,NA,NA,NA,NA
"DFO","105",349,317,NA,67,117,950,"F","Y",61.7,6,27,NA,"a"
"DFO","11",350,282,NA,49,112,600,NA,NA,NA,NA,NA,NA,NA
"DFO","72",350,317,NA,69,134,1250,NA,NA,NA,NA,NA,NA,NA
"DFO","98",350,320,NA,67,122,1050,"F","Y",86.2,5,16,NA,"a"
"DFO","109",350,324,NA,63,124,980,"F","Y",120.4,10,18,NA,"l"
"DFO","77",351,319,NA,57,115,700,"M","N",NA,7,9,NA,"l"
"DFO","114",351,322,NA,69,126,1080,"F","Y",64.7,11,23,6,"a"
"DFO","148",351,318,NA,63,125,900,"F","Y",101,6,19,NA,"l"
"DFO","64",352,315,NA,61,116,830,NA,NA,NA,NA,NA,NA,NA
"DFO","94",353,317,NA,73,135,1150,NA,NA,NA,NA,NA,NA,NA
"DFO","95",353,314,NA,56,115,775,NA,NA,NA,NA,NA,NA,NA
"DFO","86",354,321,NA,64,125,880,NA,NA,NA,NA,NA,NA,NA
"DFO","122",354,323,NA,65,122,1010,"M","N",NA,8.8,23,NA,"l"
"DFO","128",354,331,NA,78,145,1360,NA,NA,NA,NA,NA,NA,NA
"DFO","91",355,310,NA,50,114,760,NA,NA,NA,NA,NA,NA,NA
"DFO","93",355,314,NA,67,124,1060,NA,NA,NA,NA,NA,NA,NA
"DFO","108",355,328,NA,68,129,1080,NA,NA,NA,NA,NA,NA,NA
"DFO","137",355,320,NA,68,115,910,NA,NA,NA,NA,NA,NA,NA
"DFO","65",357,324,NA,69,128,1250,NA,NA,NA,NA,NA,NA,NA
"DFO","78",357,320,NA,66,118,960,NA,NA,NA,NA,NA,NA,NA
"DFO","117",357,332,NA,68,124,1150,NA,NA,NA,NA,NA,NA,NA
"DFO","59",358,324,NA,66,132,1240,NA,NA,NA,NA,NA,NA,NA
"DFO","87",358,318,NA,65,122,880,NA,NA,NA,NA,NA,NA,NA
"DFO","104",358,326,NA,68,124,980,NA,NA,NA,NA,NA,NA,NA
"DFO","102",359,232,NA,54,119,630,"F","Y",3.1,11,17,NA,"l"
"DFO","121",360,330,NA,75,143,1340,NA,NA,NA,NA,NA,NA,NA
"DFO","126",360,334,NA,72,128,970,NA,NA,NA,NA,NA,NA,NA
"DFO","146",360,330,NA,71,136,1210,"F","Y",80,7,15,NA,"l"
"DFO","116",361,329,NA,64,116,920,NA,NA,NA,NA,NA,NA,NA
"DFO","55",362,323,NA,69,115,920,NA,NA,NA,NA,NA,NA,NA
"DFO","88",363,324,NA,75,141,1560,NA,NA,NA,NA,NA,NA,NA
"DFO","154",364,334,NA,79,134,1320,NA,NA,NA,NA,NA,NA,NA
"DFO","63",365,320,NA,64,140,1080,NA,NA,NA,NA,NA,NA,NA
"DFO","132",365,335,NA,81,120,1060,"F","Y",NA,8,20,4,"l"
"DFO","138",365,335,NA,73,125,1340,"F","Y",66,11,25,-4,"a"
"DFO","145",365,335,NA,74,136,1220,"F","Y",115,9,NA,NA,NA
"DFO","147",365,336,NA,71,126,980,"F","Y",67,9,28,NA,"l"
"DFO","149",365,338,NA,77,155,1400,"F","Y",208,9,14,NA,"l"
"DFO","123",368,330,NA,81,142,1240,NA,NA,NA,NA,NA,NA,NA
"DFO","120",370,341,NA,72,140,1250,NA,NA,NA,NA,NA,NA,NA
"DFO","140",370,335,NA,70,140,1230,"F","Y",109.6,6,19,NA,"l"
"DFO","153",370,334,NA,76,142,1350,NA,NA,NA,NA,NA,NA,NA
"DFO","156",370,332,NA,70,132,1120,NA,NA,NA,NA,NA,NA,NA
"DFO","110",372,338,NA,65,130,1100,NA,NA,NA,NA,NA,NA,NA
"DFO","45",374,291,NA,58,106,670,"F","Y",37.9,8,19,3,"l"
"DFO","97",374,336,NA,68,131,1080,NA,NA,NA,NA,NA,NA,NA
"DFO","111",374,345,NA,75,128,1250,NA,NA,NA,NA,NA,NA,NA
"DFO","127",374,339,NA,75,140,1280,NA,NA,NA,NA,NA,NA,NA
"DFO","129",375,335,NA,71,145,1260,"F","Y",103,9,30,-12,"l"
"DFO","134",375,340,NA,70,135,1200,"F","Y",138,7,19,-10,"l"
"DFO","159",378,345,NA,77,140,1340,NA,NA,NA,NA,NA,NA,NA
"DFO","119",380,350,NA,74,143,1250,NA,NA,NA,NA,NA,NA,NA
"DFO","139",380,345,NA,77,130,1250,"F","Y",64,10,NA,NA,NA
"DFO","144",380,356,NA,76,140,1400,NA,NA,NA,NA,NA,NA,NA
"DFO","158",380,345,NA,76,150,1480,NA,NA,NA,NA,NA,NA,NA
"DFO","125",381,340,NA,73,131,1120,NA,NA,NA,NA,NA,NA,NA
"DFO","151",381,348,NA,71,135,1360,NA,NA,NA,NA,NA,NA,NA
"DFO","46",382,351,NA,74,138,1150,"F","Y",68.2,10,23,10,"l"
"DFO","82",382,343,NA,74,131,990,NA,NA,NA,NA,NA,NA,NA
"DFO","106",382,347,NA,76,135,1330,NA,NA,NA,NA,NA,NA,NA
"DFO","113",382,343,NA,70,135,1100,NA,NA,NA,NA,NA,NA,NA
"DFO","51",383,357,NA,71,148,1430,"F","Y",118.2,13,18,3,"l"
"DFO","131",383,343,NA,76,149,1440,NA,NA,NA,NA,NA,NA,NA
"DFO","5",384,355,NA,74,133,1360,NA,NA,NA,NA,NA,NA,NA
"DFO","26",384,359,NA,78,149,1490,NA,NA,NA,NA,NA,NA,NA
"DFO","28",384,357,NA,99,141,1500,NA,NA,NA,NA,NA,NA,NA
"DFO","118",385,346,NA,73,135,1300,NA,NA,NA,NA,NA,NA,NA
"DFO","18",386,354,NA,81,142,1310,NA,NA,NA,NA,NA,NA,NA
"DFO","69",386,353,NA,84,154,1650,"F","Y",49.2,15,19,7,"a"
"DFO","99",386,345,NA,76,138,1230,NA,NA,NA,NA,NA,NA,NA
"DFO","14",387,351,NA,72,136,1500,NA,NA,NA,NA,NA,NA,NA
"DFO","19",387,351,NA,77,143,1360,NA,NA,NA,NA,NA,NA,NA
"DFO","66",387,351,NA,73,143,1350,"F","Y",98.1,13,20,6,"l"
"DFO","81",388,349,NA,72,147,1350,NA,NA,NA,NA,NA,NA,NA
"DFO","135",390,340,NA,75,135,1240,"M","N",NA,9.3,23,NA,"a"
"DFO","136",390,355,NA,81,145,1580,"F","Y",58.3,12,23,-5,"l"
"DFO","115",392,354,NA,73,141,1420,"F","Y",87.7,12,25,NA,"l"
"DFO","79",393,352,NA,72,154,1470,"F","Y",83.7,13,19,NA,"l"
"DFO","62",394,355,NA,82,164,1800,NA,NA,NA,NA,NA,NA,NA
"DFO","20",395,361,NA,74,144,1470,NA,NA,NA,NA,NA,NA,NA
"DFO","31",396,355,NA,71,145,1350,"F","Y",99,12,14,NA,"l"
"DFO","53",396,352,NA,76,146,1750,"F","Y",115.2,11,17,NA,"l"
"DFO","27",398,361,NA,71,143,1510,NA,NA,NA,NA,NA,NA,NA
"DFO","54",399,357,NA,81,158,1590,"F","Y",200.5,10,27,15,"l"
"DFO","22",401,356,NA,73,126,1370,NA,NA,NA,NA,NA,NA,NA
"DFO","150",401,364,NA,78,165,1730,"F","Y",270,11,30,-11,"l"
"DFO","43",404,368,NA,73,164,1610,"F","Y",74.1,15,31,13,"l"
"DFO","143",405,372,NA,82,165,1740,"F","Y",97.6,8,16,NA,"l"
"DFO","9989",193,178,NA,30,65,131,"M","N",NA,2,6,-4,"a"
"DFO","9990",189,169,NA,31,64,125,"F","Y",13.3,3,9,-3,"a"
"DFO","9991",210,197,NA,35,75,170,"M","N",NA,3,16,-1,"l"
"DFO","9992",207,187,NA,35,78,181,"F","Y",4.2,2,19,-1,"l"
"DFO","9993",254,232,NA,39,86,283,"F","Y",13.9,4,10,0,"a"
"DFO","9994",262,241,NA,46,88,333,"F","Y",35.8,3,14,-4,"l"
"DFO","9995",223,204,NA,39,71,185,"F","Y",13.4,3,19,-2,"l"
"DFO","9996",234,213,NA,42,79,227,"F","Y",17,2,16,NA,"l"
"DFO","9997",177,161,NA,25,55,83.5,NA,"N",NA,2,16,NA,"l"
"DFO","9998",244,224,NA,42,84,286,"F","Y",22.2,5,9,NA,"a"
